2023-06-02 01:11:50.1185 INFO  approve is added to LearnedWords
2023-06-02 01:12:51.2770 INFO  rescue is added to LearnedWords
2023-06-02 01:14:54.7464 INFO  backbone is added to LearnedWords
2023-06-02 01:15:36.8936 INFO said  Logged out
2023-06-02 01:15:48.3622 INFO said  Loged
2023-06-02 01:15:51.2314 INFO said  Logged out
2023-06-02 21:47:17.7849 INFO said  Loged
2023-06-02 22:06:20.8920 INFO zeynep1  Loged
2023-06-02 22:10:35.2963 INFO zeynep1  Logged out
