2023-04-26 01:58:30.0751 INFO 
said Converted words : 
 2 underlying ~
2 mankind ~
9 immutable ~
7 meddle ~
7 foolproof ~
9 consider ~
8 intact ~
5 denote ~
!!! affluent ~
7 watch out ~
6 rectangle ~
5 mime ~
2 dispute ~
6 fairy ~
6 consecutive ~
3 downright ~
6 suntan ~
7 conductive ~
8 represent ~
1 fellow ~
1 lewd ~
!!! vacant ~
6 faint ~
6 devote ~
4 base on ~
5 germ ~
7 hideous ~
8 pressure ~
6 decent ~
9 cope ~
7 blink ~
4 invert ~
3 abolish ~
!!! humiliation ~
4 grape ~
7 broom ~
6 confidence ~
9 medieval ~
3 mindset ~
9 no sense ~
7 defect ~
!!! faucet ~
1 chew ~
