2023-05-14 00:31:32.9731 INFO 
said Converted words : 
 1 revoke ~
4 curse ~
6 retreat ~
7 permanent ~
7 indicate ~
9 denote ~
8 defect ~
!!! prone ~
7 conductive ~
3 abuse ~
8 manufacturer ~
4 pop up ~
!!! humiliation ~
5 comma ~
!!! allowance ~
9 lewd ~
6 aesthetic ~
2 repetitive ~
3 beholder ~
5 thrill ~
9 immutable ~
6 as well as ~
9 fellow ~
6 brisk ~
!!! faint ~
7 foolproof ~
3 beg ~
8 identical ~
4 shabby ~
6 violate ~
6 fluid ~
6 ruin ~
7 intact ~
1 assign ~
8 mischief ~
9 sustainable ~
8 devote ~
4 forfeit ~
2 compass ~
2 consult ~
!!! underlying ~
!!! invert ~
5incident ~
4 variety  ~
1 advancement ~
