2023-08-06 16:06:04.3369 INFO 
said Converted words : 
 2 mug ~
7 thick ~
6 payday ~
!!! humble ~
9 rectify ~
7 orphan ~
!!! diversion ~
3 recall ~
7 accumulate ~
9 bias ~
9 exploit ~
8 summon ~
!!! cling ~
7 revenue ~
6 intruder ~
8 rescue ~
8 regard ~
4 sweep ~
!!! squirt ~
9 cope ~
!!! acquire ~
1 disprove ~
1 assure ~
9 coincidence ~
5 controversial ~
4 twig ~
7 bruise ~
!!! tedious ~
8 informative ~
8 rehearsal ~
2 invade ~
9 convey ~
!!! approve ~
4 fountain ~
4 puddle ~
7 accomplishment ~
8 contribute ~
9 mention ~
5 gullible ~
3 sidekick ~
6 adversity ~
2 rumor ~
