2023-06-14 16:28:52.2006 INFO 
said Converted words : 
 3 accumulate ~
5 unstable ~
7 orphan ~
8 rescue ~
4 wrist ~
7 vanish ~
6 repair ~
8 mention ~
8 contribute ~
!!! manure ~
7 reckless ~
7 wrath ~
2 cling ~
3 wipe out ~
8 assign ~
7 figment ~
!!! diversion ~
4 satisfy ~
8 hence ~
8 punctual ~
7 incident ~
!!! insult ~
1 exploit ~
1 cope ~
6 humble ~
9 rectify ~
6 squirt ~
8 rehearsal ~
3 vault ~
!!! tidy ~
7 handcuff ~
9 disturbance ~
3 thick ~
!!! acquire ~
!!! tedious ~
9 oracle ~
9 stunt ~
9 convey ~
!!! morality ~
7 accomplishment ~
8 backbone ~
6 approve ~
7 genuine ~
4 tough ~
5 coincidence ~
1 bias ~
