2023-06-25 13:10:51.0202 INFO 
said Converted words : 
 1 payday ~
7 rescue ~
6 wipe out ~
4 bias ~
8 coincidence ~
4 cope ~
8 unstable ~
9 tedious ~
!!! accomplishment ~
9 acquire ~
!!! handcuff ~
8 rectify ~
!!! incident ~
4 exploit ~
7 tough ~
2 bruise ~
!!! reckless ~
6 accumulate ~
!!! wrath ~
8 convey ~
9 approve ~
1 intruder ~
1 adversity ~
7 rehearsal ~
7 contribute ~
9 repair ~
9 humble ~
!!! vanish ~
9 squirt ~
3 informative ~
3 regard ~
6 thick ~
9 diversion ~
!!! figment ~
7 wrist ~
3 summon ~
6 vault ~
9 tidy ~
8 disturbance ~
!!! genuine ~
2 revenue ~
!!! orphan ~
8 mention ~
5 cling ~
7 satisfy ~
