2023-06-09 22:08:30.8028 INFO 
said Converted words : 
 1 wipe out ~
1 thick ~
5 wrath ~
7 disturbance ~
9 reckless ~
8 acquire ~
8 tedious ~
!!! provoke ~
!!! assign ~
7 oracle ~
7 stunt ~
7 convey ~
8 morality ~
9 figment ~
8 diversion ~
5 handcuff ~
2 satisfy ~
8 tidy ~
9 accomplishment ~
6 backbone ~
8 manure ~
9 deliberate ~
6 hence ~
9 invasion ~
1 vault ~
!!! contribute ~
6 approve ~
!!! mention ~
9 ward ~
!!! rampage ~
6 punctual ~
9 incident ~
7 genuine ~
8 insult ~
2 tough ~
!!! rehearsal ~
4 repair ~
4 squirt ~
7 rectify ~
3 coincidence ~
4 humble ~
9 vanish ~
2 wrist ~
6 rescue ~
5 orphan ~
3 unstable ~
1 accumulate ~
